iter	Passed	Remaining
186	317	1381
187	318	1374
188	318	1368
189	319	1361
190	319	1355
191	320	1348
192	321	1342
193	321	1335
194	321	1329
195	322	1322
196	322	1316
197	323	1310
198	323	1303
199	324	1297
200	324	1291
201	325	1285
202	325	1279
203	326	1273
204	326	1267
205	327	1261
206	327	1255
207	328	1249
208	328	1243
209	329	1237
210	329	1232
211	329	1226
212	330	1220
213	330	1215
214	331	1210
215	331	1204
216	332	1199
217	332	1193
218	333	1188
219	333	1182
220	334	1177
221	334	1172
222	334	1166
223	335	1161
224	335	1156
225	336	1151
226	336	1146
227	337	1141
228	337	1136
229	338	1131
230	338	1126
231	339	1122
232	339	1117
233	339	1112
234	340	1107
235	340	1103
236	341	1098
237	341	1093
238	342	1089
239	342	1084
240	343	1080
241	343	1076
242	344	1071
243	344	1067
244	345	1063
245	345	1058
246	345	1054
247	346	1050
248	346	1045
249	347	1041
250	347	1037
251	348	1033
252	348	1028
253	348	1024
254	349	1020
255	349	1016
256	350	1013
257	350	1009
258	351	1005
259	351	1001
260	352	997
261	352	993
262	353	989
263	353	985
264	354	981
265	354	978
266	354	974
267	355	970
268	355	967
269	356	963
270	357	960
271	357	957
272	358	953
273	358	950
274	359	946
275	359	943
276	360	940
277	360	936
278	361	933
279	361	930
280	362	927
281	363	924
282	363	921
283	364	917
284	364	914
285	365	911
286	365	908
287	366	905
288	366	902
289	367	899
290	367	896
291	368	893
292	368	890
293	369	887
294	370	884
295	370	881
296	371	878
297	371	876
298	372	872
299	372	870
300	373	867
301	374	864
302	374	861
303	375	858
304	375	856
305	376	853
306	376	850
307	377	848
308	378	845
309	378	842
310	379	839
311	379	836
312	379	833
313	380	831
314	380	828
315	381	825
316	382	823
317	382	820
318	383	817
319	383	815
320	384	812
321	384	810
322	385	807
323	385	805
324	386	802
325	387	800
326	387	797
327	388	795
328	388	793
329	389	790
330	389	788
331	390	785
332	390	782
333	391	780
334	391	778
335	392	775
336	393	773
337	393	770
338	394	768
339	394	766
340	395	764
341	395	761
342	396	759
343	396	756
344	397	754
345	397	751
346	398	749
347	398	747
348	399	744
349	399	742
350	400	740
351	401	738
352	401	736
353	402	733
354	402	731
355	403	729
356	403	726
357	403	724
358	404	722
359	404	719
360	405	717
361	405	715
362	406	713
363	406	711
364	407	708
365	407	706
366	408	704
367	408	702
368	409	699
369	409	697
370	410	695
371	410	693
372	411	691
373	411	688
374	412	686
375	412	684
376	413	682
377	413	680
378	414	678
379	414	676
380	415	674
381	415	672
382	416	670
383	416	668
384	416	665
385	417	663
386	417	661
387	418	659
388	418	657
389	419	656
390	420	654
391	420	652
392	420	650
393	421	648
394	421	646
395	422	643
396	422	642
397	423	640
398	423	638
399	424	636
400	424	634
401	425	632
402	425	630
403	425	628
404	426	626
405	426	624
406	427	622
407	427	620
408	428	618
409	428	616
410	429	615
411	429	613
412	430	611
413	430	609
414	430	607
415	431	605
416	431	603
417	432	602
418	432	600
419	433	598
420	433	596
421	434	594
422	434	592
423	435	591
424	435	589
425	436	587
426	436	585
427	436	583
428	437	582
429	437	580
430	438	578
431	439	577
432	439	575
433	439	573
434	440	571
435	440	570
436	441	568
437	441	566
438	442	565
439	442	563
440	443	562
441	443	560
442	444	558
443	445	557
444	445	555
445	446	554
446	446	552
447	446	550
448	447	549
449	447	547
450	448	545
451	448	543
452	449	542
453	449	540
454	450	539
455	450	537
456	451	535
457	451	534
458	452	532
459	452	531
460	452	529
461	453	527
462	453	526
463	454	524
464	454	523
465	455	521
466	455	520
467	456	518
468	456	517
469	457	515
470	457	514
471	458	512
472	458	511
473	459	509
474	459	508
475	460	506
476	460	505
477	461	503
478	461	501
479	461	500
480	462	498
481	462	497
482	463	496
483	464	494
484	464	493
485	465	491
486	465	490
487	466	488
488	466	487
489	466	485
490	467	484
491	467	483
492	468	481
493	468	480
494	469	478
495	469	477
496	470	476
497	471	474
498	471	473
499	472	472
500	472	470
501	472	469
502	473	467
503	473	466
504	474	464
505	474	463
506	475	462
507	475	460
508	476	459
509	476	457
510	477	456
511	477	455
512	478	453
513	478	452
514	479	451
515	479	449
516	479	448
517	480	446
518	480	445
519	481	444
520	481	443
521	482	441
522	482	440
523	483	439
524	483	437
525	484	436
526	484	435
527	485	433
528	485	432
529	486	431
530	486	429
531	486	428
532	487	427
533	487	425
534	488	424
535	488	423
536	489	422
537	489	420
538	490	419
539	490	418
540	491	416
541	491	415
542	492	414
543	492	413
544	493	411
545	493	410
546	494	409
547	494	408
548	495	407
549	496	405
550	496	404
551	496	403
552	497	402
553	497	400
554	498	399
555	498	398
556	499	397
557	499	395
558	500	394
559	501	393
560	501	392
561	502	391
562	502	390
563	503	388
564	503	387
565	503	386
566	504	385
567	504	383
568	505	382
569	505	381
570	506	380
571	506	379
572	507	377
573	507	376
574	508	375
575	508	374
576	508	373
577	509	371
578	509	370
579	510	369
580	510	368
581	511	367
582	512	366
583	512	365
584	513	364
585	513	362
586	514	361
587	514	360
588	515	359
589	516	358
590	516	357
591	517	356
592	517	355
593	518	354
594	518	353
595	519	352
596	519	350
597	520	349
598	520	348
599	521	347
600	521	346
601	522	345
602	522	344
603	523	343
604	523	342
605	524	341
606	525	339
607	525	338
608	526	337
609	526	336
610	527	335
611	527	334
612	528	333
613	528	332
614	529	331
615	529	330
616	530	329
617	530	328
618	531	326
619	531	325
620	532	324
621	532	323
622	533	322
623	533	321
624	534	320
625	534	319
626	535	318
627	535	317
628	536	316
629	536	315
630	537	314
631	538	313
632	538	312
633	539	311
634	539	310
635	540	309
636	540	308
637	541	307
638	541	306
639	542	305
640	542	304
641	543	302
642	543	301
643	544	300
644	544	299
645	545	298
646	545	297
647	546	296
648	546	295
649	547	294
650	547	293
651	548	292
652	548	291
653	549	290
654	549	289
655	550	288
656	550	287
657	551	286
658	552	285
659	552	284
660	553	283
661	553	282
662	554	281
663	554	280
664	555	279
665	555	278
666	556	277
667	556	276
668	557	275
669	557	274
670	558	273
671	559	272
672	559	271
673	560	270
674	560	269
675	561	268
676	561	267
677	562	267
678	562	266
679	563	265
680	563	264
681	564	263
682	565	262
683	565	261
684	566	260
685	566	259
686	567	258
687	567	257
688	568	256
689	568	255
690	569	254
691	569	253
692	570	252
693	570	251
694	571	250
695	571	249
696	572	248
697	572	247
698	573	246
699	574	246
700	574	245
701	574	244
702	575	243
703	575	242
704	576	241
705	576	240
706	577	239
707	577	238
708	578	237
709	579	236
710	579	235
711	579	234
712	580	233
713	580	232
714	581	231
715	581	230
716	582	229
717	582	228
718	583	228
719	584	227
720	584	226
721	585	225
722	585	224
723	586	223
724	586	222
725	587	221
726	587	220
727	588	219
728	588	218
729	589	218
730	589	217
731	590	216
732	591	215
733	591	214
734	592	213
735	592	212
736	593	211
737	593	210
738	594	209
739	594	208
740	595	208
741	595	207
742	596	206
743	596	205
744	597	204
745	598	203
746	598	202
747	599	201
748	599	201
749	600	200
750	600	199
751	601	198
752	601	197
753	602	196
754	603	195
755	603	194
756	603	193
757	604	192
758	604	192
759	605	191
760	606	190
761	606	189
762	606	188
763	607	187
764	607	186
765	608	185
766	608	184
767	609	184
768	609	183
769	610	182
770	610	181
771	611	180
772	611	179
773	612	178
774	612	177
775	613	177
776	613	176
777	614	175
778	614	174
779	615	173
780	615	172
781	616	171
782	616	170
783	617	170
784	617	169
785	618	168
786	618	167
787	619	166
788	619	165
789	619	164
790	620	163
791	620	163
792	621	162
793	621	161
794	622	160
795	622	159
796	623	158
797	623	157
798	624	156
799	624	156
800	624	155
801	625	154
802	625	153
803	626	152
804	626	151
805	627	151
806	627	150
807	628	149
808	628	148
809	629	147
810	629	146
811	630	145
812	630	145
813	631	144
814	631	143
815	632	142
816	632	141
817	632	140
818	633	139
819	633	139
820	634	138
821	634	137
822	635	136
823	635	135
824	636	134
825	636	134
826	637	133
827	637	132
828	638	131
829	638	130
830	639	129
831	639	129
832	640	128
833	640	127
834	641	126
835	641	125
836	642	125
837	642	124
838	643	123
839	643	122
840	644	121
841	644	120
842	644	120
843	645	119
844	646	118
845	646	117
846	647	116
847	647	116
848	647	115
849	648	114
850	648	113
851	649	112
852	649	111
853	650	111
854	650	110
855	651	109
856	651	108
857	652	107
858	652	107
859	653	106
860	653	105
861	654	104
862	654	103
863	655	103
864	655	102
865	655	101
866	656	100
867	656	99
868	657	99
869	657	98
870	658	97
871	659	96
872	659	95
873	660	95
874	660	94
875	661	93
876	661	92
877	661	91
878	662	91
879	662	90
880	663	89
881	663	88
882	664	88
883	664	87
884	665	86
885	665	85
886	666	84
887	666	84
888	667	83
889	667	82
890	668	81
891	668	80
892	669	80
893	669	79
894	670	78
895	670	77
896	671	77
897	671	76
898	672	75
899	672	74
900	673	73
901	673	73
902	674	72
903	674	71
904	675	70
905	676	70
906	676	69
907	677	68
908	677	67
909	678	67
910	678	66
911	679	65
912	679	64
913	680	64
914	680	63
915	681	62
916	681	61
917	682	60
918	682	60
919	683	59
920	684	58
921	684	57
922	685	57
923	685	56
924	686	55
925	686	54
926	687	54
927	687	53
928	688	52
929	688	51
930	688	51
931	689	50
932	689	49
933	690	48
934	690	48
935	691	47
936	691	46
937	692	45
938	692	45
939	693	44
940	693	43
941	694	42
942	695	42
943	695	41
944	696	40
945	696	39
946	697	39
947	697	38
948	698	37
949	698	36
950	699	36
951	700	35
952	700	34
953	701	33
954	701	33
955	702	32
956	702	31
957	703	30
958	703	30
959	704	29
960	705	28
961	705	27
962	706	27
963	706	26
964	706	25
965	707	24
966	708	24
967	708	23
968	709	22
969	709	21
970	709	21
971	710	20
972	710	19
973	711	18
974	712	18
975	712	17
976	713	16
977	713	16
978	714	15
979	714	14
980	715	13
981	716	13
982	716	12
983	717	11
984	717	10
985	718	10
986	718	9
987	719	8
988	719	8
989	720	7
990	720	6
991	721	5
992	721	5
993	722	4
994	723	3
995	723	2
996	724	2
997	724	1
998	725	0
999	725	0
